role,source_split,relative_path,source_class,target_class,label,sha256
calibration,validation,circular_farmland/circular_farmland_202.jpg,circular_farmland,agricultural,0,fa857a7d30cc3de78e58ce084eafeddf4a469f0cae3111ac13cc592ccd2b72d3
calibration,validation,circular_farmland/circular_farmland_303.jpg,circular_farmland,agricultural,0,c971b6a82268728d18727c1b6f21419ed00e9e82f4fcb47c6544ccaf40a60525
calibration,validation,circular_farmland/circular_farmland_083.jpg,circular_farmland,agricultural,0,56da60f0660259f9b0d3f20be089d569535ee0a059565aa13fa0049de3f87dd2
calibration,validation,circular_farmland/circular_farmland_259.jpg,circular_farmland,agricultural,0,6ad27c3cc48acf8ff82c2d3ae565ae2ed2e0f7dea91913ae73f9161bbb15fe1a
calibration,validation,circular_farmland/circular_farmland_020.jpg,circular_farmland,agricultural,0,e089c4437bdfcc31551554f3bbab6cbb157b8f59475f5174b30340222b88d6b4
calibration,validation,circular_farmland/circular_farmland_232.jpg,circular_farmland,agricultural,0,03b618c5539e984e2772080a320fbb3ee36cfda6d7d177b34bf6115a58262c09
calibration,validation,circular_farmland/circular_farmland_341.jpg,circular_farmland,agricultural,0,f4766715c301fe5dfe6946c1854709d42a15d527ab68c35978234a74e85b09f0
calibration,validation,circular_farmland/circular_farmland_141.jpg,circular_farmland,agricultural,0,f9a27f293fde5d483c1bcfdfd16efe85acee0abe8a50f0d7a0dcb4efd65600b0
calibration,validation,circular_farmland/circular_farmland_034.jpg,circular_farmland,agricultural,0,8c7561340015accfaca7a4818d3133c1c5de4740ebbbd0947cb2a463532fe3a2
calibration,validation,circular_farmland/circular_farmland_049.jpg,circular_farmland,agricultural,0,e8a067e9199aaf5fb4d0c7d28f4337dcb8fb821a77004e4d994e017c77b9b5ee
calibration,validation,circular_farmland/circular_farmland_433.jpg,circular_farmland,agricultural,0,7b2953bee2c57400b10889a0012acaae1d57a7c9dc31e830a8c4cc3ce527aa9a
calibration,validation,circular_farmland/circular_farmland_577.jpg,circular_farmland,agricultural,0,ca61c4515c2ba4cf786a17684234e4f8375474e4b451742b7904a868af18abdb
calibration,validation,circular_farmland/circular_farmland_030.jpg,circular_farmland,agricultural,0,f74d0975e5c31bb165676b793beeb6b8018c27b35030142cd11bcdf58b61a514
calibration,validation,circular_farmland/circular_farmland_086.jpg,circular_farmland,agricultural,0,0e249ea5b6a65df4a6047a28bbdd327b1780313c4e47eb1d0f184ed92de58cf6
calibration,validation,circular_farmland/circular_farmland_662.jpg,circular_farmland,agricultural,0,6764cb0b92b5e5643e4fbfa1db1e1c703103b00c12b96fcff1f2c9c9caab55ac
calibration,validation,circular_farmland/circular_farmland_082.jpg,circular_farmland,agricultural,0,9a96d5251e7827595044e5faf648fb2508909e7dbaa4c8d44d7e6e2bc3dd56fc
calibration,validation,circular_farmland/circular_farmland_557.jpg,circular_farmland,agricultural,0,2b4e4322c053deda6da7be5c4abfdb0318cede871859329395f5715455675c60
calibration,validation,circular_farmland/circular_farmland_016.jpg,circular_farmland,agricultural,0,1086a58a4303064c272f4cfc940d31371818b29411794cfa8293152434e3431f
calibration,validation,circular_farmland/circular_farmland_236.jpg,circular_farmland,agricultural,0,f10a401df6cc30f0fa064754dc0c346b2a2f26c105e67de8494578ad49c12a4f
calibration,validation,circular_farmland/circular_farmland_106.jpg,circular_farmland,agricultural,0,35dafa759c9120c790b044a224e82681ea53c1023c0f2c7400c1a6d67a715232
calibration,validation,circular_farmland/circular_farmland_286.jpg,circular_farmland,agricultural,0,eb06b7ee1aaffb1c3a7219e40eebc3bfdf4897adb8ee73f0f58932bdef3807ab
calibration,validation,circular_farmland/circular_farmland_092.jpg,circular_farmland,agricultural,0,b883c52c7f8abe610956db08d294bd0bac39713ac0a1fa86f01dcc8e18813a9d
calibration,validation,circular_farmland/circular_farmland_046.jpg,circular_farmland,agricultural,0,07bce38784330a9f768bbcf0fb390d0eb1d403b74f2b9f8120e6adf687269200
calibration,validation,circular_farmland/circular_farmland_059.jpg,circular_farmland,agricultural,0,55bc2682f0e7de429338430418cca2331f8c5d619bb3ae3a9422c4d9908ee6c7
calibration,validation,circular_farmland/circular_farmland_295.jpg,circular_farmland,agricultural,0,a5e83f0aa85d404d95b38c30ac47d973cc1c13171a300a4d8cea7210b76d34d0
calibration,validation,circular_farmland/circular_farmland_241.jpg,circular_farmland,agricultural,0,61a8b46f6e8a4432636147042f7b6574451192610c68b0010ef765ea846f2ed1
calibration,validation,circular_farmland/circular_farmland_226.jpg,circular_farmland,agricultural,0,4d3efbe482265968cc54fe794212af2fd799a22d9cb36437d874949b6ed1ce59
calibration,validation,circular_farmland/circular_farmland_174.jpg,circular_farmland,agricultural,0,3bc4e2031410baaaa3c47cdf23252b92abcbdc5ea9f1a357e177487b15c8d2bc
calibration,validation,circular_farmland/circular_farmland_288.jpg,circular_farmland,agricultural,0,556a20129558e22aeb37fa8c49a6680b612fa9cc80f0d3ac1e5412fa30a22b1c
calibration,validation,circular_farmland/circular_farmland_576.jpg,circular_farmland,agricultural,0,285cd2395e29c6967853bf8b3a7b28b03c72180b4400dc40a6f2ac1c6ff4a5f2
calibration,validation,circular_farmland/circular_farmland_212.jpg,circular_farmland,agricultural,0,6551b7b26d7510493a47b520870a1871293804a4097c0019ea86166413a1799d
calibration,validation,circular_farmland/circular_farmland_117.jpg,circular_farmland,agricultural,0,ebdd45f943828afbbe2e6c5ae9ce4af26398d90044a260f002e3e0fb758ab47d
calibration,validation,circular_farmland/circular_farmland_275.jpg,circular_farmland,agricultural,0,3f1ab6101eadc60ed40a22236d88fc1487528c7a31fac7a0e5c387d0558a99a1
calibration,validation,circular_farmland/circular_farmland_322.jpg,circular_farmland,agricultural,0,b64a2cf59ddd98367da7ffc423dad39e32aebfa4d9ecb98a1f154c8ca57af4eb
calibration,validation,circular_farmland/circular_farmland_164.jpg,circular_farmland,agricultural,0,d0af610cff43ef1693ab9e108a9d0907f92f75cd96d90b6b394d4371595e0349
calibration,validation,circular_farmland/circular_farmland_210.jpg,circular_farmland,agricultural,0,1f646f1ac35d0b161d8ecf287603400d93732ed72172afe06665e1f71ae696eb
calibration,validation,circular_farmland/circular_farmland_529.jpg,circular_farmland,agricultural,0,f40a4cb161e8e8cc12ee5b86933f77bd5fc69ac2726b7bcbf35e9b5799ed3762
calibration,validation,circular_farmland/circular_farmland_362.jpg,circular_farmland,agricultural,0,8d00eb02f57ed06f42db30f402728d696ebe1c37ea0f4fd34a298159d4c9a83c
calibration,validation,circular_farmland/circular_farmland_113.jpg,circular_farmland,agricultural,0,a12c066ec9809a6738cff4cc9a3fd39b4ed25fef62a2c3613236ccd3dd48c42e
calibration,validation,circular_farmland/circular_farmland_473.jpg,circular_farmland,agricultural,0,f0ed31089de6a6b19601222c8780ffcc9658c6c6e8221b5f256c786a7276c600
calibration,validation,circular_farmland/circular_farmland_386.jpg,circular_farmland,agricultural,0,053e2ca325ced885ca15986316671fa52f254b9d9b7597ba858e1f0a83c111bf
calibration,validation,circular_farmland/circular_farmland_622.jpg,circular_farmland,agricultural,0,64999d42e15621567f6eee316d41a868a7de11f96d9d683c19bb267f33cc9d31
calibration,validation,circular_farmland/circular_farmland_245.jpg,circular_farmland,agricultural,0,7bfec61fe2bd9d55655769172258eaa6edc68ee18c7ffee01203faa18c5f18c7
calibration,validation,circular_farmland/circular_farmland_022.jpg,circular_farmland,agricultural,0,6456ef888f638014180b7488c04848cfa77fdad60fb17e3ec2ad7fdf7daa5b3e
calibration,validation,circular_farmland/circular_farmland_517.jpg,circular_farmland,agricultural,0,89fe96b7e3086cac5ab3ac5925c290ca7219bab609438fcf8a1affd3b42467a7
calibration,validation,circular_farmland/circular_farmland_443.jpg,circular_farmland,agricultural,0,cdb3aa5cb358bfb3046a0a65a361e4140b67f1def6e31b1ff842aec5d28b344a
calibration,validation,circular_farmland/circular_farmland_079.jpg,circular_farmland,agricultural,0,710df98644572c5979d4a0854b2148e33faf418d2e3444bbbc4592e04d4111bb
calibration,validation,circular_farmland/circular_farmland_435.jpg,circular_farmland,agricultural,0,a6b1055156f27f1a7a8cd62940f063c5ff0f6a753fc7a98eee0f029b60bb3985
